TRAIN_NUMBER,TRAIN_CODE,FROM,TO,START_TIME,END_TIME,ROUTE_MAP,LINE,TYPE,NOT_ON_SUNDAY,15_CAR,12_CAR_ON_SAT
long,String,String,String,String,String,String,String,String,boolean,boolean,boolean
96301,A1,CSMT,AMBERNATH,0:05,1:45,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96401,N1,CSMT,KASARA,0:15,3:00,RID_CR_SLOW_DN_N,CR,SLOW,,,
96101,S1,CSMT,KARJAT,0:25,2:45,RID_CR_SLOW_DN_KP,CR,SLOW,,,
97301,T1,CSMT,THANE,0:28,1:24,RID_CR_SLOW_DN_N,CR,SLOW,,,
97601,C1,CSMT,KURLA,0:31,1:00,RID_CR_SLOW_DN_N,CR,SLOW,,,
96001,SKP1,KARJAT,KHOPOLI,5:43,6:08,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96501,KAN1,KALYAN,ASANGAON,5:28,6:03,RID_CR_SLOW_DN_N,CR,SLOW,,,
96103,TS1,THANE,KARJAT,5:00,6:24,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96403,N3,CSMT,KASARA,4:15,6:56,RID_CR_SLOW_DN_N,CR,SLOW,,,
96601,CTL1,VIDYAVIHAR,TITWALA,4:51,6:02,RID_CR_SLOW_DN_N,CR,SLOW,,,
96107,S3,CSMT,KARJAT,4:48,7:08,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96503,TAN1,THANE,ASANGAON,5:47,6:57,RID_CR_SLOW_DN_N,CR,SLOW,,,
96201,CBL1,KURLA,BADLAPUR,5:27,6:43,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96405,N5,CSMT,KASARA,5:00,7:38,RID_CR_SLOW_DN_N,CR,SLOW,,,
97001,CK1,KURLA,KALYAN,5:39,6:35,RID_CR_SLOW_DN_N,CR,SLOW,,,
96505,AN1,CSMT,ASANGAON,5:12,7:16,RID_CR_SLOW_DN_N,CR,SLOW,,,
96109,S5,CSMT,KARJAT,5:20,7:39,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96303,A3,CSMT,AMBERNATH,5:24,7:05,RID_CR_SLOW_DN_KP,CR,SLOW,TRUE,,
96605,TL1,CSMT,TITWALA,5:28,7:10,RID_CR_SLOW_DN_N,CR,SLOW,,,
97003,CK3,KURLA,KALYAN,6:03,7:00,RID_CR_SLOW_DN_N,CR,SLOW,TRUE,,
96305,A5,CSMT,AMBERNATH,5:40,7:22,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96005,SKP3,KARJAT,KHOPOLI,8:00,8:25,RID_CR_SLOW_DN_KP,CR,SLOW,,,
97005,CK5,KURLA,KALYAN,6:15,7:13,RID_CR_SLOW_DN_KP,CR,SLOW,,,
96607,TL3,CSMT,TITWALA,5:52,7:38,RID_CR_SLOW_DN_N,CR,SLOW,,,
97007,CK7,KURLA,KALYAN,6:27,7:25,RID_CR_SLOW_DN_KP,CR,SLOW,TRUE,,
96507,AN3,CSMT,ASANGAON,6:02,8:07,RID_CR_SLOW_DN_N,CR,SLOW,,,
95701,K1,CSMT,KALYAN,6:06,7:07,RID_CR_FAST_DN_KP,CR,FAST,TRUE,,
95101,S7,CSMT,KARJAT,6:10,8:05,RID_CR_FAST_DN_KP,CR,FAST,,,
